peptide_length,rds_mu,rds_sigma,rds_cutoff_p005,rds_cutoff_p001
8,31.59,6.16,21.45,17.25
9,32.81,5.98,22.97,18.89
10,33.43,5.69,24.06,20.18
11,33.44,5.32,24.69,21.06
12,33.94,5.16,25.46,21.95
13,33.73,4.87,25.73,22.41
14,33.56,4.66,25.9,22.73
15,33.57,4.52,26.14,23.06
16,33.75,4.43,26.46,23.45
17,34.07,4.37,26.88,23.89
18,34.45,4.34,27.31,24.36
19,34.77,4.32,27.67,24.72
20,35.06,4.29,28,25.07
21,35.19,4.28,28.15,25.23
22,35.33,4.23,28.38,25.5
23,35.27,4.14,28.46,25.64
24,35.43,4.13,28.64,25.82
25,35.31,4.02,28.69,25.95
